ID (hex),DLC,Data (hex),ASCII,Adjusted_Time
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:03.130
304,7,4B 8B 01 00 FF 82 04,K......,15:52:03.131
38F,2,01 FF,..,15:52:03.132
404,1,1,.,15:52:03.132
541,8,B3 6A 0C 3D 99 0C 00 00,.j.=....,15:52:03.133
223,2,55 AA,U.,15:52:03.136
23A,8,10 02 ED 70 0C E8 20 32,...p.. 2,15:52:03.137
50A,4,00 01 00 00,....,15:52:03.137
108,1,1,.,15:52:03.138
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.139
20F,8,FF 01 04 00 00 3E 63 B6,.....>c.,15:52:03.142
541,8,A4 EA 87 3F BD 34 A6 02,...?.4..,15:52:03.143
290,8,01 B8 FF 54 3B 13 00 00,...T,15:52:03.144
228,8,00 00 00 00 00 00 00 00,........,15:52:03.147
21E,8,00 00 00 00 00 00 00 00,........,15:52:03.149
108,1,1,.,15:52:03.149
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:03.150
509,4,00 00 00 00,....,15:52:03.151
541,8,B5 EA 00 3F E1 54 00 00,...?.T..,15:52:03.153
